Name,Organization,K/D Ratio
keenc,GX3,1.73
runneR,DIA,1.68
v1c,SR,1.51
Patix,DIA,1.39
Bob,C9W,1.38
cNed,NAVI,1.46
brawk,G/B,1.34
Verno,OXG,1.41
Logan,LV,1.43
Grmekista,DIA,1.52
cortezia,TBS,1.29
gtn,RED,1.20
fzkk,ODK,1.33
Cryocells,100T,1.51
Will,DR,1.35
al1en,DIA,1.36
mada,SR,1.23
Sushie,CR,1.26
Korsonix,DBB,1.28
Prti,DIA,1.38
PTC,MiTH,1.37
CTC,RED,1.36
f0rsakeN,PRX,1.31
sibeastw0w,NSR,1.30
ZmjjKK,EDG,1.35
zeldris,SLM,1.31
SUYGETSU,NAVI,1.38
skuba,OXG,1.30
ZexRow,DR,1.41
Demon1,sqn,1.39
Keiko,Apek,1.34
yoman,,1.16
Rossy,TSM,1.20
moobs,CR,1.30
bjor,ZMM.B,1.31
Polvi,MAD,1.25
curry,C9,1.21
flowerful,SR.GC,1.27
bld,ODK,1.22
brax,T1,1.25
bang,100T,1.23
JUGi,FKS,1.30
aNguiSt,Vitr,1.27
clear,DSG,1.33
Derrek,100T,1.12
Leozin,RED,1.25
WARDELL,V1,1.19
Tisora,ODK,1.28
bungee,TSM.X,1.34
Kanpeki,CB,1.20
Precision,NA,1.16
runi,SQ,1.20
nabil,Mapl,1.16
Life,ASE,1.24
thief,BU,1.23
Brinks,SEMO,1.17
Wildfire,Foxy,1.17
Ange,DZ,1.10
Nille,ALL,1.30
Smoke,,1.18
corey,TSM,1.27
L1NK,ACE,1.27
Dark3st,KS,1.12
sScary,BLD,1.10
Hyperzxz,Gief,1.12
dam,,1.17
Smoggy,EDG,1.20
Spaz,Blin,1.21
neptune,NSIC,1.17
Juicy,BLD,1.19
cryptX,FIU,1.20
ozz,CR,1.14
TiGG,SR,1.08
Kadoom,SPE,1.20
renz,LT,1.14
DEATHMAKER,VLT,1.18
chime,FG,1.14
KHS,TAMU,1.16
NcSlasher,BTR,1.11
Rawkus,CB,1.02
Poti,V9,1.15
nillyaz,LT,1.13
zekken,SEN,1.13
toozy,LV,1.12
Teddy,CN,1.17
rivszn,CR,1.13
happy,RIOS,1.29
Pa1nt,TR,1.18
Papi,NBG,1.00
cavern,FRCE,1.06
azrex,,1.10
SkRossi,GES,1.11
ec1s,BAR,1.16
Ali,Crou,1.17
vit9ine,,1.26
Masic,DA,1.21
MOLSI,VIT,1.16
mw1,VLT,1.12
Burzzy,SUP,1.19
dip,NU,1.14
Wo0t,FF,1.13
stellar,100T,1.13
chloric,LV,1.06
tokyo,FIU,1.20
PureVNS,MSF,1.09
sociablEE,PRL,1.15
Temperature,Divi,1.08
Jerk,GEN,1.12
Stewie2k,Team,1.13
moose,SR,1.15
Famouz,BME,1.21
svL,Cosm,1.05
AloNeFillz,MiTH,1.11
crazyguy,BLD,1.09
Paincakes,CB,1.11
Izzy,SUP,1.20
Dory,,1.09
whitr,,1.13
xenon,Labo,1.21
Shao,NAVI,1.10
Rebo,MR,1.09
m0rea,BTR,1.06
chrollo,RAAD,0.99
epathy,NSIC,1.15
CHICHOO,EDG,1.06
fletcher,TSR,1.07
lauress,PRL,1.14
SmokeyTheBear,Team,1.18
moner,OXR,1.16
BlackHeart,TSR,1.04
Trick,DR,1.00
jmoh,VRT,1.10
ethos,SKW,1.02
florescent,V1,1.13
Zyppan,NAVI,1.06
ZachaREEE,CB,1.03
mikshak,MCT,1.01
RND,RED,1.15
b3ta,MiTH,0.98
Yoshii,MFC,1.10
Ginilson,Proj,1.12
furbsa,NU,1.14
YAMS,,1.07
Deryeon,BLD,1.14
FAIRY,RIOS,1.06
Drone,DR,0.97
Kicks,bonk,1.01
FireBallOps,Divi,1.17
SouhcNi,BBL,0.97
sharky,COL,1.02
icee,,1.04
Jlerst,PRL,1.08
bunnybee,XSET.P,1.02
Asuna,100T,1.10
JaXe,OQ,1.03
Spring,CBT,1.13
addison,HBOX,1.06
bsmooth,,1.08
KPZET,FKS,1.08
BALLI,UP,1.06
benjii,NU,1.12
Retla,BLD,1.01
Mixwell,TH,1.08
Oderus,NYFU,1.10
zerona,,1.01
demon,TR,1.08
JayH,BLD,0.97
PlayboiJoe,SHFT,1.04
Abo,EDG,1.11
NOVEMBER,,1.11
kongared,AAA,1.05
KhA,ANO,1.01
Andersin,DHBK,0.96
nico,UOL,1.08
kev,FG,1.12
WeDid,SKW,1.07
Smoodies,,0.99
Neon,DNAD,1.13
jacobin,ODK,0.95
Lear,ZMM.B,1.03
seven,TSM,1.14
aika,FG,1.01
mitch,OXG,0.98
Add3r,DNAD,1.10
hemmer,,1.09
MrFaliN,FUT,1.04
Coffee,PHXE,1.05
shonk,SQ,0.96
MAR1,MCT,1.06
Jangler,AI,0.99
Hydro,DMG,1.12
AAAAY,FPX,1.07
welyy,Stas,0.95
kwsp,,1.06
rubski,,1.04
tech,MR,1.01
DraYstaR,YFP,1.01
Treelover,UOL,1.05
BlackMoose,TKA,0.94
PatMen,NCG,1.08
pwny,OXG,1.05
dazzLe,SR,0.97
Cain,RESO,1.03
SimonD4rk,TBD,1.09
Click,TBD,1.04
jeyj7y,PRL,1.01
Jonaaa6,OR,0.91
zeek,TH,1.05
bdog,SR,1.09
PrimeMCD,FG,1.01
silenx,The,1.06
jcrueL,Divi,1.03
clawdia,GX3,0.95
c4Lypso,NA,1.08
RaijuACE,,1.06
nickszxz,,1.02
nerve,SQ,0.97
RetrQ,The,1.05
King,VRT,1.06
artStar,XSET.P,0.97
HAXXA,TM,1.05
Ruxic,PRL,0.94
Menace,VRT,0.99
juseu,bonk,1.06
jeffie,TR,0.99
d4v41,PRX,1.11
Benkai,PRX,0.91
9er,CR,1.09
XiSTOU,SUP,1.00
Saiz,ZETA,1.01
iinoob,,1.04
venture,MR,0.95
jakee,NSIC,1.03
senyorcarL,NCG,1.06
ZK,MR,0.90
Nahsie,SHFT,1.07
JohnHam,,0.97
shen,Blin,1.01
Kryptix,BAR,0.99
Momiji,TKA,1.15
NaturE,TSM,1.00
zeddy,PHXE,0.98
AC,,1.05
AvovA,TH,1.03
KP,SR.GC,1.01
Jinggg,PRX,1.02
L4CE,GX3,1.01
Bati,SAW,0.87
jovahnii,MFC,0.89
Aiko,DNAD,1.06
spasz,100J,0.96
ceNder,VIT,1.08
Reduxx,OXG,1.02
ZesBeeW,BTR,1.00
Awkua,MFC,0.97
aproto,G/B,1.03
Vorwenn,BTS,0.98
GLYPH,TR,0.96
Kehem,,0.99
atlas,,0.98
A77,MP,0.95
Thigwrb,Elys,0.98
eXampL,ANO,0.83
icy,MR,1.01
Toph,,1.01
Thom,NBG,1.01
bENITA,SR.GC,0.95
Ching,RNT,1.04
Migstur,NBG,1.05
truk,WeD,0.89
Dogo,MFC,1.03
Shiro,BME,1.02
JanOwO,OQ,0.94
mina,SQ,0.97
yetujey,FF,0.99
riku,PK.A,1.02
JSP,QoR,0.95
KIS,RIOS,0.93
Meddo,TL,0.98
KINGVINNY,TFT,1.07
req,FG,1.05
Critical,Divi,0.93
monSi,TSR,0.89
Velocity,zL,0.86
alexis,V1,0.89
Jaf,eM,1.01
fznnn,ODK,0.94
Cohburg,KS,0.92
Soto,KS,1.05
AtaKaptan,FUT,0.88
Banger,,0.99
Luzuh,MOUZ,0.99
Boo,TH,0.93
simba,,0.95
MOCKING,LT,0.94
blackhawk,RNT,0.96
sterben,SUP,0.92
KHorror,LAND,0.96
Lorri,SR.GC,0.95
MydMathers,NCG,0.92
Kehmicals,Clan,1.04
Clewy,,0.96
Cab8ts,New,0.97
Maanish,QoR,0.92
Psyche,LV,0.93
Lime,FKS,0.91
YaBoiLewis,FKS,0.96
Town,Blin,0.95
Ego,BBBo,0.97
KRAY,MAD,0.97
starriebun,XSET.P,0.87
Havex,,0.94
Tristiieee,AI,0.94
NXBLE,TAMU,0.99
Excali,VLT,0.89
ohai,AI,0.88
fiziq,NSIC,0.90
skylen,SUP,0.91
BlanK,CSUN.R,1.01
RaM,Stev,0.92
Urango,BTF,0.96
miniature,MAD.SC,0.99
v1nny,Labo,0.91
Lin,AI,1.03
HUYNH,YFP,0.94
Tempt,NF,0.86
Rarga,NSR,1.00
Casblood18,LYE,0.96
contii,SHFT,0.91
hazed,TSM,0.90
Governor,NA,0.94
dESTRUCTIVEE,FF,0.93
sunshine,who?,0.93
zinc,Roya,1.02
Buld,ZETA,0.92
randyySAVAGE,OXG,0.96
rajadaJJ,,1.05
Ant,GLB,0.96
tyfoon,,0.90
Potatoe,MAD.SC,0.91
light,,0.86
acrian,afte,0.98
flare,,0.99
Thieney,TAMU,0.91
HUDFAME,HBOX,1.08
Eley,VRT,1.00
eli,,0.93
gMd,TSM,0.90
Blahst,VRT,1.01
YorkMonster,NTER,0.91
REFORMEDMELVIN,UCS,0.87
keloqz,TH,1.00
sonder,SR.GC,0.93
phoon,NBG,0.89
qRaxs,FUT,0.97
qw1,FUT,1.05
Flonson,FG,0.90
Tim,TR,0.94
Stronglegs,KS,0.88
Veer,ODU,0.85
nAked,UP,0.96
hellff,VLT,0.96
blaZek1ng,BME,0.92
COOKIEOREOYUMMY1,LYE,0.94
Velocity,UAESA.G,1.03
sacred,MFC,0.89
killax,ZINK,0.82
Twisten,VIT,0.99
Hopper,RILL,0.87
Russ,LPB,0.88
Kouf,afte,0.96
Kryptic,Cat,0.88
opTED,,0.83
Zik,ALL,0.83
plaza,FIU,0.92
Bgg,TBD,0.88
BearZ,Team,0.95
Ming,FCN,0.94
JN3v1cEEE,FF,0.85
Okeanos,DHBK,0.93
tdawgg,Metr,0.89
Harmful,NA,0.98
Nick,DNAD,0.87
ALEKSANDAR,YFP,0.97
flyuh,BU,0.81
bless,DMG,0.96
mNdS,MIBR,0.89
geeza,NA,0.86
scoll,,0.91
1TaPGoD,RNT,0.98
JoshS,RNT,0.95
ZYND,NCG,1.01
bunt,,0.91
Haodong,EDG,0.87
LeviathanAG,NA,0.86
eleo,UOL,0.81
alvarxz,QoR,0.95
Klamran,NBG,0.92
ExciteMVP,RILL,0.84
Moechilla,STORM,0.92
rayse,IMT,0.94
Fatmarino,,0.92
d1msumboi,TSR,0.94
Apl,,0.87
Kasche1x,Ecle,0.90
Nanners,QoR,0.91
Jayymilz,,0.83
nate,SKC,0.93
tylerboy,,0.86
duck,KS,0.91
boredom,RIOS,0.89
PureR,SQ,1.02
SmartPunch,,0.91
drago,100J,0.85
Kushay,MFC,0.85
nathn,sqn,0.90
MaxC,NCG,0.80
gucc107,YFP,0.84
zeek,TFT,0.88
B3Ar,,0.81
alcoacH,UP,0.97
mega,100J,0.93
Harmon,LT,0.84
meL,V1,0.88
frostmind,BTR,0.93
nandinh0,BTF,0.82
dom,Stas,0.88
gaabxx,RED,0.87
Lightningfast,GES,0.94
Xhowi,SKC,0.91
Papicam,TMU.B,0.89
YouBreak,ANO,0.90
Cai,,0.94
sym,TSM.A,0.93
luckeRRR,BIG,0.90
Stunny,,0.83
syfi,YFP,0.95
laddermoves,TR,0.78
ShimmyXD,Zeni,0.84
Rexgator,Hype,0.87
MOJJ,FUT,0.85
Crescent,Metr,0.90
katsumi,C9W,0.91
Slag,Trop,0.95
Dill,,0.86
Champzera,JUXT,0.87
khanartist,TSR,0.93
sayoo,BTR,0.88
berLIN,FPX,0.88
Tooug,puGG,0.87
Blitzz,,0.84
cttpckwN,UP,0.89
deejay,,0.92
BerserX,BME,0.89
LoveX,,0.88
unstable,,0.95
Lomein,FG,0.83
Keta,TM.A,0.84
mindfreak,PRX,0.93
Gonchz,,0.88
Klusia,,0.91
Jamie,Impa,0.77
Jamie,WeD,0.79
severiNe,BME,0.81
Luc1d,UOL,0.87
Siduzord,,0.78
zekei,TR,0.88
Whimp,RNT,0.78
Fractured,LYE,0.86
DRAGziKW,BTF,0.73
Shawn12590,NSIC,0.81
pierson,,0.88
scarn,,0.83
Tiger,JNS,0.75
royal,AI,0.78
Winsum,MAD.SC,0.88
Arctic,,0.76
nizhaoTZH,FPX,0.91
andrew,SHFT,0.91
wooo,,0.91
alain,325,0.84
bladee,,0.77
Yuicaw,FPX,0.91
YuChEn,FPX,0.82
Shane,IluZ,0.76
A1mly,NSR,0.90
Ksiaze,MAD.SC,0.98
EdudZ,100J,0.77
tie,sqn,0.75
Furzaan,FIU,0.79
zerocap,sqn,0.74
Eren,NTER,0.90
Yum07,Team,0.81
bonkar,bonk,0.77
Flippsy,QoR,0.74
DBK,VRT,0.83
Rest,TFT,0.80
WiLD,RILL,0.75
cactuzio,NSR,0.75
Pain,IluZ,0.91
cawn,,0.86
Amaterasu,VLT,0.79
KappA,GES,0.78
TheAuri,ANO,0.76
skillZ,GES,0.82
Kmlord,Lion,0.76
ind1n,puGG,0.85
snxper,VRT,0.75
Druff,,0.71
hfmi0dzjc9z7,,0.84
redo,TM.B,0.85
Atake,RF,0.77
hyjinx,TKA,0.84
YHchen,,0.80
Fragger,EX0,0.78
br9dy,IluZ,0.78
Bully,eM,0.81
Trepenn,UP,0.74
Kenji,,0.79
empty,,0.76
ANGE1,NAVI,0.73
Isaac,,0.77
felix,,0.76
SexyChristian,Divi,0.65
PapaSmurf,VEXO,0.68
Stokesy,eM,0.73
Waffle,FIU,0.73
x0tek,MAD.SC,0.72
BONECOLD,VIT,0.81
snarly,,0.76
Destrian,VIT,0.61
Kurama,FG,0.64
Nurfed,OXGA,0.63
HellrangeR,GES,0.67
reece,Rose,0.64
Fearozen,Neve,0.75
Gio,IluZ,0.68
yngty,TAMU,0.63
monk,,0.68
Imposter,Hype,0.69
Jacket,,0.68
CurryASD,,0.54
chqse,Team,0.54
